Name,Architecture,Size,Pretraining Data,Dimensions,# Layers,Directory,Steps,Tokenizer,Layer Norm,Rope,Attention Type,Position Embedding,FFN Activation,Dropout,GPT Init,Bias,Weight Tying,Llama Linear,Context Length,Train Loss,Tokens,Test Loss,Optimizer,Scheduler,Learning Rate,Weight Decay,C4 Validation Loss,C4 Validation BPB,The Pile UC Validation Loss,The Pile UC Validation BPB,RefineWeb Validation Loss,RefineWeb Validation BPB,Slimpajama Validation Loss,Slimpajama Validation BPB,FineWeb-Edu Validation Loss,FineWeb-Edu Validation BPB,ARC-Challenge Accuracy,ARC-Challenge Loss,ARC-Challenge BPB,ARC-Easy Accuracy,ARC-Easy Loss,ARC-Easy BPB,HellaSwag Accuracy,HellaSwag Loss,HellaSwag BPB,MMLU Accuracy,MMLU Loss,MMLU BPB,Winogrande Accuracy,Winogrande Loss,Winogrande BPB,PIQA Accuracy,PIQA Loss,PIQA BPB,Social IQa Accuracy,Social IQa Loss,Social IQa BPB,CommonSenseQA Accuracy,CommonSenseQA Loss,CommonSenseQA BPB,COPA Accuracy,COPA Loss,COPA BPB,OpenBookQA Accuracy,OpenBookQA Loss,OpenBookQA BPB,Hugging Face,MMLU_stem Loss,MMLU_other Loss,MMLU_humanities Loss,MMLU_social_sciences Loss,Intervention,Intervention,Intervention,Intervention,Intervention,Intervention,Overtraining
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,Context Length,Optimizer,Architecture,Pretraining Data,Tokenizer,
HuggingFaceFW/ablation-model-c4,Llama,1713670144,C4,,,,55000.0,gpt2-HF,,,,,,,,,,,,,115000000000,,,,,,3.2438237488181274,0.9060160066920224,3.8421471355712806,0.6912249802699993,3.6920222037694805,1.0313098387817183,4.321057598593041,0.9339477813397636,3.4005213375329,0.8001169809249329,0.2696245733788396,6.088473597704702,1.0123454431451757,0.5867003367003367,6.7784205520511644,0.9978717808941482,0.44373630750846443,2.691397238993079,0.781740064806223,0.24013673265916535,,,0.5485398579321231,4.138180719362002,1.0372324410004248,0.735582154515778,3.648118097041142,0.8907624266050266,0.4104401228249744,9.0503646575501,1.4554253997364033,0.20065520065520065,2.859256628787879,2.0625176794905844,0.79,4.863427263708515,1.439357676286775,0.234,8.249629595404592,1.4051309677472972,True,,,,,False,False,False,False,True,True,False
allenai/OLMo-1B,olmo,,Dolma,,,,,,,,,,,,,,,,,,,,,,,,3.2887005280995716,0.9208636649747647,3.266813101663913,0.5622151002993526,3.525235935996372,0.9875103907586447,4.125547746766214,0.8828998271168467,3.3335790162883,0.7825521343175823,0.2738907849829352,5.266323626383803,0.9086768945159627,0.6153198653198653,5.613412862462922,0.8586218525475832,0.448814977096196,2.591053136051573,0.7582828920305604,,,,0.5706393054459353,4.047437619750603,1.021821690821955,0.7415669205658324,3.5249835644784624,0.8795563248671154,0.417093142272262,9.498088757189427,1.520529548398747,0.2031122031122031,1.9524824522637032,1.4084183756517834,0.78,4.410550293331366,1.3291059475132851,0.24,7.885201348636911,1.3630885541953017,True,,,,,False,False,False,True,True,True,False
state-spaces/mamba-1.4b,Mamba,1372178432,The Pile,,,,,gpt-neox,,,,,,,,,,,,,300000000000,,,,,,3.4386587347706206,0.9628532175680327,2.708453487113802,0.4661219976552167,3.547563273482812,0.9937648594427677,4.066141428043751,0.870186405348592,3.278606446082595,0.7696474148154492,0.29948805460750855,4.775951848848795,0.8492487081403854,0.6544612794612794,4.956902044389646,0.7851877868648078,0.450408285202151,2.6226924500957316,0.7734353843905896,0.24882495371029767,,,0.611681136543015,4.062098056056371,1.0245275007435661,0.7415669205658324,3.4530455717320874,0.8720882582642245,0.4232343909928352,8.593295781244418,1.4063234849371997,0.18755118755118755,1.8461734106265357,1.3317326120659836,0.79,4.3358785342261905,1.3079712934992735,0.262,7.928147094702171,1.3672337924259936,True,,,,,False,False,False,True,True,True,False
EleutherAI/pythia-160m,GPT,123689472,The Pile,,,,,gpt-neox,,,,,,,,,,,,,299892736000,,,,,,4.133896760576858,1.1575256819665207,3.396582735878537,0.584548317917044,4.229025703034859,1.1846602327772833,4.682684311753779,1.0021314557638703,3.939992023917365,0.9249065801187341,0.189419795221843,6.880507381609112,1.1984783934521386,0.43308080808080807,7.915304551537072,1.213865399139079,0.2824138617805218,3.3275897768491434,0.9852243641680068,0.23030907278165502,,,0.5130228887134964,4.6362229447020695,1.1815269574251492,0.6164309031556039,4.456339715544168,1.1498025038426085,0.3705220061412487,9.307268373075226,1.5491881856027685,0.19901719901719903,5.271037283732596,3.8022496747909242,0.66,5.02953452493687,1.5241103483383371,0.156,8.96269142234176,1.5812988614161425,True,,,,,False,False,False,True,True,True,False
allenai/OLMo-7B,olmo,,Dolma,,,,,,,,,,,,,,,,,,,,,,,,3.147651839052136,0.8813688518635312,3.1157390181953684,0.5362154093630578,3.3898021401498366,0.9495718575408565,3.9991776724217463,0.8558556323480601,3.203257475594121,0.7519593692085266,0.3046075085324232,5.015631643910718,0.8516230408731824,0.6801346801346801,5.291976939199518,0.804451152526087,0.4955188209520016,2.475065008596542,0.7237673870215691,,,,0.601420678768745,3.9617775285181436,0.9974557002474945,0.764961915125136,3.3448573949431695,0.8312102542189286,0.4181166837256909,8.77126567624762,1.4133826681667323,0.18345618345618345,2.5483818827448665,1.8382689522636495,0.84,4.20671454456255,1.2662466500934042,0.254,7.7978343231132445,1.3363831296703224,True,,,,,False,False,False,True,True,True,False
EleutherAI/pythia-410m,GPT,353822720,The Pile,,,,,gpt-neox,,,,,,,,,,,,,299892736000,,,,,,3.786029239274991,1.0601198653363157,3.0509153879194657,0.5250593307435701,3.895374291308737,1.091195783318325,,,3.6093692178651944,0.847293425828403,0.2150170648464164,6.42996017991616,1.0822743787707665,0.5185185185185185,7.408738832083708,1.0883596982474606,0.33738299143596895,2.9478565721927206,0.8708483123001668,0.23237430565446518,,,0.5367008681925809,4.369387092544221,1.1052836491652098,0.6675734494015234,3.990053307468533,1.0059943922338457,0.38945752302968273,9.4452600532179,1.5319176151704206,0.19082719082719082,2.570096152615684,1.8539324869932259,0.68,4.662537208017676,1.4138879227714114,0.18,8.535754533010387,1.4877129555387676,True,,,,,False,False,False,True,True,True,False
allenai/OLMo-7B,olmo,,Dolma,,,,,,,,,,,,,,,,,,,,,,,,3.2029272590301163,0.8968464319560414,3.1802331533371717,0.5473147822163749,3.4484730920649596,0.966007119096055,4.083850830007031,0.8739763573480517,3.256424722479774,0.7644402920613717,0.30716723549488056,5.00949594311931,0.8552595905992176,0.6590909090909091,5.323949548502107,0.8082360489683191,0.47649870543716394,2.5259214139576023,0.7374534199649567,0.24099131177894886,,,0.5895816890292028,4.035991245624237,1.0127930132241587,0.7519042437431991,3.3897360553032003,0.8446441479326798,0.4181166837256909,8.904763869406446,1.4373689233369396,0.19737919737919737,2.7925360875965435,2.0143889825395007,0.78,4.308162574190771,1.2973985803548398,0.252,7.839196091687386,1.3493160755399405,True,,,,,False,False,False,True,True,True,False
HuggingFaceFW/ablation-model-fineweb-edu,Llama,1713670144,FineWeb-Edu,,,,90000.0,gpt2-HF,,,,,,,,,,,,,189000000000,,,,,,3.599172807570181,1.0052667552290249,3.7900958229111374,0.6818606414518854,3.7486913217132027,1.047139488676774,4.474740249696585,0.9671645500945477,3.0459478204751522,0.7166885110450743,0.3779863481228669,4.487408806536665,0.7917857426091008,0.7297979797979798,4.39942885979535,0.7031338125291682,0.4506074487153953,2.7013601761755455,0.781492969409379,0.2494658880501353,,,0.5580110497237569,4.185170663731604,1.0474080076764358,0.735038084874864,3.6213107455105664,0.9008407983000858,0.413510747185261,8.282589330098839,1.3482783058858068,0.19983619983619982,2.1585150491400493,1.5570394785392732,0.77,5.232868686868688,1.545497789795666,0.314,7.694534604804912,1.3183164627936714,True,,,,,False,False,False,False,False,True,False
HuggingFaceFW/ablation-model-the-pile,Llama,1713670144,The Pile Deduped,,,,80000.0,gpt2-HF,,,,,,,,,,,,,168000000000,,,,,,3.634548395901824,1.0151473319053297,2.733343402069803,0.49174463457550754,3.749111589730508,1.0472568841086674,4.2037212693976205,0.9085868594306696,3.4512607354480718,0.8120555779352635,0.2380546075085324,6.007394206432534,0.9979271951082153,0.5669191919191919,6.762035380082218,0.9975737154791768,0.3888667596096395,2.8007310285767693,0.8163776369184432,0.2549494374020795,,,0.5556432517758485,4.292303060237556,1.067794271217081,0.7034820457018498,3.7847424397251976,0.9465748651510327,0.4007164790174002,9.274858217457373,1.4875122060791643,0.20475020475020475,2.3631436834561836,1.7046478365151574,0.72,4.5079959866522366,1.340011483575196,0.196,8.364050583617772,1.4339289830128057,True,,,,,False,False,False,False,True,True,False
